Age	Own.Home.	Num.Children	Income	Sex	Total.Wealth	Other.Gifts	Number.of.Gifts	Smallest.Gift	Largest.Gift	Previous.Gift	Time.Between.Gifts	Average.Gift	Current.Gift	Sqrt.Smallest.Gift	Sqrt.Largest.Gift	Sqrt.Previous.Gift	Sqrt.Average.Gift	Sqrt.Current.Gift
60	H	0	7	F	9	0	5	10	100	75	0	70	75	3.16227766016838	10	8.66025403784439	8.36660026534076	8.66025403784439
69	H	0	6	M	9	2	4	5	50	50	5	23.75	60	2.23606797749979	7.07106781186548	7.07106781186548	4.87339717240448	7.74596669241483
60	H	0	1	M	4	0	5	10	50	50	5	33	60	3.16227766016838	7.07106781186548	7.07106781186548	5.74456264653803	7.74596669241483
46	H	0	5	F	9	2	12	2	45	45	3	17.33	60	1.4142135623731	6.70820393249937	6.70820393249937	4.16293165929973	7.74596669241483
47	H	0	6	M	9	4	2	25	40	40	11	32.5	55	5	6.32455532033676	6.32455532033676	5.70087712549569	7.41619848709566
64	U	0	2	M	7	1	11	10	58	52	7	36.36	53	3.16227766016838	7.61577310586391	7.21110255092798	6.02992537267253	7.28010988928052
79	H	0	7	M	8	1	13	3	60	47	8	28.54	53	1.73205080756888	7.74596669241483	6.85565460040104	5.34228415567723	7.28010988928052
69	H	0	4	M	4	0	6	15	36	36	3	20.83	51	3.87298334620742	6	6	4.56398948289761	7.14142842854285
68	H	0	1	F	0	0	3	5	15	15	22	11.67	51	2.23606797749979	3.87298334620742	3.87298334620742	3.41613817050774	7.14142842854285
50	H	0	4	F	6	0	4	25	36	36	8	30.75	51	5	6	6	5.54526825320471	7.14142842854285
37	U	0	1	F	0	0	7	5	20	15	13	14.29	50	2.23606797749979	4.47213595499958	3.87298334620742	3.78021163428716	7.07106781186548
64	H	0	6	M	9	0	2	10	50	50	9	30	50	3.16227766016838	7.07106781186548	7.07106781186548	5.47722557505166	7.07106781186548
73	H	0	1	F	3	9	5	15	50	50	27	31	50	3.87298334620742	7.07106781186548	7.07106781186548	5.56776436283002	7.07106781186548
55	H	0	1	F	6	0	1	30	30	30	1	30	50	5.47722557505166	5.47722557505166	5.47722557505166	5.47722557505166	7.07106781186548
54	H	0	1	F	4	0	3	10	20	15	1	15	50	3.16227766016838	4.47213595499958	3.87298334620742	3.87298334620742	7.07106781186548
86	H	0	6	M	9	0	8	25	60	60	5	38.75	50	5	7.74596669241483	7.74596669241483	6.22494979899437	7.07106781186548
43	H	3	6	M	3	0	5	10	30	10	4	21	50	3.16227766016838	5.47722557505166	3.16227766016838	4.58257569495584	7.07106781186548
54	H	0	5	F	2	0	1	15	15	15	3	15	50	3.87298334620742	3.87298334620742	3.87298334620742	3.87298334620742	7.07106781186548
84	H	0	5	F	5	0	12	5	60	50	6	32.92	50	2.23606797749979	7.74596669241483	7.07106781186548	5.73759531511242	7.07106781186548
51	H	0	5	F	7	17	2	5	20	20	9	12.5	50	2.23606797749979	4.47213595499958	4.47213595499958	3.53553390593274	7.07106781186548
55	H	0	4	M	6	2	16	5	25	25	3	15.06	50	2.23606797749979	5	5	3.88072158238645	7.07106781186548
44	U	0	5	M	9	0	11	5	37	37	6	14.55	50	2.23606797749979	6.08276253029822	6.08276253029822	3.81444622455213	7.07106781186548
83	H	0	6	F	5	0	7	5	16	16	16	12.14	50	2.23606797749979	4	4	3.48425027803687	7.07106781186548
33	U	0	5	F	8	1	6	25	100	100	6	79.17	50	5	10	10	8.89775252521669	7.07106781186548
73	H	0	7	F	7	36	13	5	50	50	4	32.31	50	2.23606797749979	7.07106781186548	7.07106781186548	5.68418859644893	7.07106781186548
58	H	0	2	F	8	7	3	25	50	50	28	33.33	50	5	7.07106781186548	7.07106781186548	5.77321400954442	7.07106781186548
84	H	0	1	M	5	0	6	1	30	30	30	17.5	50	1	5.47722557505166	5.47722557505166	4.18330013267038	7.07106781186548
52	H	0	5	M	4	0	9	10	100	20	7	36.11	50	3.16227766016838	10	4.47213595499958	6.00915967502945	7.07106781186548
57	H	0	5	F	8	10	17	5	50	50	3	18.18	50	2.23606797749979	7.07106781186548	7.07106781186548	4.26380112106557	7.07106781186548
69	H	1	4	F	5	0	5	10	30	30	7	25	50	3.16227766016838	5.47722557505166	5.47722557505166	5	7.07106781186548
75	H	0	5	M	7	0	2	50	60	60	12	55	50	7.07106781186548	7.74596669241483	7.74596669241483	7.41619848709566	7.07106781186548
53	H	0	5	F	9	6	12	25	75	40	12	42.08	50	5	8.66025403784439	6.32455532033676	6.48690989609074	7.07106781186548
52	H	1	7	F	8	0	6	3	20	20	4	10.33	50	1.73205080756888	4.47213595499958	4.47213595499958	3.21403173599764	7.07106781186548
49	U	0	3	M	2	0	1	50	50	50	9	50	50	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548
63	U	0	1	F	5	0	4	15	50	50	5	25	50	3.87298334620742	7.07106781186548	7.07106781186548	5	7.07106781186548
63	H	0	1	F	9	0	9	4	36	36	3	23.11	50	2	6	6	4.80728613668877	7.07106781186548
69	U	0	4	F	1	0	9	3	50	50	8	24.22	50	1.73205080756888	7.07106781186548	7.07106781186548	4.92138191974571	7.07106781186548
49	H	0	7	F	9	1	12	10	140	28	24	32.42	50	3.16227766016838	11.8321595661992	5.29150262212918	5.6938563381947	7.07106781186548
65	H	0	4	M	6	0	3	5	25	25	5	13.33	50	2.23606797749979	5	5	3.65102725270574	7.07106781186548
60	U	0	7	F	7	0	7	10	50	50	6	30.71	50	3.16227766016838	7.07106781186548	7.07106781186548	5.54166040099896	7.07106781186548
50	H	0	1	F	6	0	6	5	21	15	0	12.83	50	2.23606797749979	4.58257569495584	3.87298334620742	3.58189893771446	7.07106781186548
67	H	0	7	M	5	5	1	25	25	25	2	25	50	5	5	5	5	7.07106781186548
64	H	0	3	F	2	0	9	15	50	50	6	39.44	50	3.87298334620742	7.07106781186548	7.07106781186548	6.28012738724303	7.07106781186548
63	U	0	1	M	7	0	2	25	50	50	6	37.5	50	5	7.07106781186548	7.07106781186548	6.12372435695795	7.07106781186548
78	H	0	1	M	6	10	9	10	50	50	15	24.44	50	3.16227766016838	7.07106781186548	7.07106781186548	4.94368283772331	7.07106781186548
82	H	0	2	F	6	0	5	3	50	50	25	22.6	50	1.73205080756888	7.07106781186548	7.07106781186548	4.75394572960189	7.07106781186548
48	H	0	4	F	5	4	5	5	10	7	2	6.6	50	2.23606797749979	3.16227766016838	2.64575131106459	2.56904651573303	7.07106781186548
74	U	0	4	M	2	22	12	10	50	50	5	28.75	50	3.16227766016838	7.07106781186548	7.07106781186548	5.3619026473818	7.07106781186548
73	H	0	7	M	9	12	4	20	40	40	37	28.75	50	4.47213595499958	6.32455532033676	6.32455532033676	5.3619026473818	7.07106781186548
32	U	0	4	F	8	0	1	50	50	50	6	50	50	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548
56	H	0	5	F	9	15	5	5	25	25	3	13.8	50	2.23606797749979	5	5	3.71483512420134	7.07106781186548
61	U	0	2	F	7	0	35	1.3	20	20	3	3.91	50	1.14017542509914	4.47213595499958	4.47213595499958	1.97737199332852	7.07106781186548
61	U	0	1	M	7	0	2	20	20	20	11	20	50	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958	7.07106781186548
65	U	0	4	F	8	6	4	5	25	25	11	15	50	2.23606797749979	5	5	3.87298334620742	7.07106781186548
41	H	0	7	M	3	0	5	25	50	50	10	35	50	5	7.07106781186548	7.07106781186548	5.91607978309962	7.07106781186548
70	H	0	6	M	9	9	2	80	80	80	19	80	50	8.94427190999916	8.94427190999916	8.94427190999916	8.94427190999916	7.07106781186548
62	U	0	1	M	6	0	6	5	26	26	12	16.5	50	2.23606797749979	5.09901951359278	5.09901951359278	4.06201920231798	7.07106781186548
76	H	0	1	F	2	0	27	5	40	40	3	10.41	50	2.23606797749979	6.32455532033676	6.32455532033676	3.22645316098034	7.07106781186548
49	U	0	1	F	5	0	6	20	32	32	25	23.67	50	4.47213595499958	5.65685424949238	5.65685424949238	4.86518242206806	7.07106781186548
40	H	0	7	F	6	12	3	25	50	30	13	35	50	5	7.07106781186548	5.47722557505166	5.91607978309962	7.07106781186548
64	U	0	4	M	2	9	9	5	30	30	5	15.56	50	2.23606797749979	5.47722557505166	5.47722557505166	3.9446165846632	7.07106781186548
54	U	0	4	F	6	0	7	10	30	30	8	18.57	50	3.16227766016838	5.47722557505166	5.47722557505166	4.30929228528305	7.07106781186548
62	H	0	1	M	9	0	14	5	50	10	5	22.79	50	2.23606797749979	7.07106781186548	3.16227766016838	4.773887304912	7.07106781186548
46	H	0	1	F	8	0	3	5	30	30	12	20	50	2.23606797749979	5.47722557505166	5.47722557505166	4.47213595499958	7.07106781186548
42	U	0	3	M	5	0	8	25	34	34	9	27.63	50	5	5.8309518948453	5.8309518948453	5.25642464038057	7.07106781186548
75	H	0	3	M	3	0	11	5	100	100	11	31.82	50	2.23606797749979	10	10	5.64092191046818	7.07106781186548
83	U	0	1	F	9	0	8	5	11	10	4	8.88	50	2.23606797749979	3.3166247903554	3.16227766016838	2.97993288515027	7.07106781186548
67	H	0	5	M	4	24	3	20	35	35	9	30	50	4.47213595499958	5.91607978309962	5.91607978309962	5.47722557505166	7.07106781186548
61	H	0	5	F	6	13	1	25	25	25	9	25	50	5	5	5	5	7.07106781186548
82	U	0	1	M	7	0	3	50	50	50	0	50	50	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548
60	H	0	1	M	2	0	1	50	50	50	10	50	50	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548	7.07106781186548
72	U	0	3	M	0	0	7	25	75	50	6	51.43	50	5	8.66025403784439	7.07106781186548	7.1714712576988	7.07106781186548
84	H	0	3	M	7	12	24	8	30	26	19	20.17	50	2.82842712474619	5.47722557505166	5.09901951359278	4.49110231457712	7.07106781186548
80	U	0	6	M	6	0	9	5	50	50	12	25.11	50	2.23606797749979	7.07106781186548	7.07106781186548	5.01098792654702	7.07106781186548
55	H	0	1	M	9	0	3	25	50	50	1	33.33	50	5	7.07106781186548	7.07106781186548	5.77321400954442	7.07106781186548
82	H	0	4	F	3	0	18	2	50	25	11	23.39	50	1.4142135623731	7.07106781186548	5	4.8363209157375	7.07106781186548
63	H	0	1	F	8	0	6	10	100	75	4	52	50	3.16227766016838	10	8.66025403784439	7.21110255092798	7.07106781186548
57	H	0	5	F	6	14	69	8	51	25	3	17.33	48	2.82842712474619	7.14142842854285	5	4.16293165929973	6.92820323027551
90	H	0	1	M	4	0	6	10	37	37	12	23.83	47	3.16227766016838	6.08276253029822	6.08276253029822	4.88159809898357	6.85565460040104
90	H	0	4	M	9	16	6	20	44	32	0	28.83	47	4.47213595499958	6.6332495807108	5.65685424949238	5.36935750346352	6.85565460040104
75	H	0	4	F	4	3	82	3	100	39	62	26.83	47	1.73205080756888	10	6.2449979983984	5.17976833458795	6.85565460040104
54	U	0	1	F	1	0	10	5	50	35	12	24.5	47	2.23606797749979	7.07106781186548	5.91607978309962	4.94974746830583	6.85565460040104
68	U	0	1	F	9	0	4	15	36	36	13	22.75	46	3.87298334620742	6	6	4.76969600708473	6.78232998312527
78	H	0	2	F	3	0	8	5	30	21	11	19.25	46	2.23606797749979	5.47722557505166	4.58257569495584	4.38748219369606	6.78232998312527
55	H	0	1	F	0	0	11	2	45	35	23	23.73	45	1.4142135623731	6.70820393249937	5.91607978309962	4.87134478352744	6.70820393249937
62	H	1	4	F	7	2	6	5	46	46	9	22.67	45	2.23606797749979	6.78232998312527	6.78232998312527	4.76130234284697	6.70820393249937
55	U	0	1	M	5	0	3	10	12	10	5	10.67	45	3.16227766016838	3.46410161513775	3.16227766016838	3.26649659421222	6.70820393249937
46	H	0	3	M	7	7	14	10	43	43	24	27.29	45	3.16227766016838	6.557438524302	6.557438524302	5.22398315464359	6.70820393249937
58	U	0	1	M	7	0	1	25	25	25	2	25	45	5	5	5	5	6.70820393249937
54	H	0	5	M	5	0	6	5	50	50	2	20.83	45	2.23606797749979	7.07106781186548	7.07106781186548	4.56398948289761	6.70820393249937
78	H	2	7	F	9	1	5	10	25	10	2	16	45	3.16227766016838	5	3.16227766016838	4	6.70820393249937
57	H	0	4	M	8	3	3	3	20	20	4	9.33	45	1.73205080756888	4.47213595499958	4.47213595499958	3.05450486986025	6.70820393249937
77	U	0	1	F	3	0	2	18.35	33.01	33.01	22	25.68	44.21	4.28368999812078	5.74543296888929	5.74543296888929	5.06754378372797	6.64906008395172
65	H	0	5	F	8	0	8	5	29	29	6	18.25	44	2.23606797749979	5.3851648071345	5.3851648071345	4.27200187265877	6.6332495807108
69	H	0	2	M	5	20	23	25	50	35	2	39	44	5	7.07106781186548	5.91607978309962	6.2449979983984	6.6332495807108
54	H	0	1	F	4	0	10	5	100	33	14	38	43	2.23606797749979	10	5.74456264653803	6.16441400296898	6.557438524302
58	H	0	6	M	2	0	7	20	31	31	6	26.57	43	4.47213595499958	5.56776436283002	5.56776436283002	5.15460958754395	6.557438524302
73	H	0	1	M	7	0	7	5	42	42	19	23.86	42	2.23606797749979	6.48074069840786	6.48074069840786	4.88466989672793	6.48074069840786
88	H	0	5	M	9	19	7	15	40	40	7	30.29	42	3.87298334620742	6.32455532033676	6.32455532033676	5.50363516232681	6.48074069840786
42	H	2	7	M	4	0	3	25	40	32	5	32.33	41	5	6.32455532033676	5.65685424949238	5.6859475903318	6.40312423743285
58	H	0	4	F	5	17	9	10	41	41	18	26.33	41	3.16227766016838	6.40312423743285	6.40312423743285	5.131276644267	6.40312423743285
58	H	1	5	M	7	12	34	5	25	21	3	17.06	40	2.23606797749979	5	4.58257569495584	4.13037528561268	6.32455532033676
64	H	0	6	M	4	0	31	5	35	10	2	17.23	40	2.23606797749979	5.91607978309962	3.16227766016838	4.15090351610345	6.32455532033676
21	H	3	7	M	9	11	2	10	25	25	12	17.5	40	3.16227766016838	5	5	4.18330013267038	6.32455532033676
66	H	0	6	M	6	0	1	0	25	25	2	25	40	0	5	5	5	6.32455532033676
77	U	0	3	M	7	16	3	10	28	28	4	17.67	40	3.16227766016838	5.29150262212918	5.29150262212918	4.20356991139674	6.32455532033676
51	H	0	2	F	1	14	4	5	30	30	12	17.75	40	2.23606797749979	5.47722557505166	5.47722557505166	4.21307488658818	6.32455532033676
61	H	0	5	F	8	0	13	5	25	25	4	11.46	40	2.23606797749979	5	5	3.38526217596215	6.32455532033676
64	H	0	7	M	8	0	4	25	35	35	5	28.75	40	5	5.91607978309962	5.91607978309962	5.3619026473818	6.32455532033676
85	H	1	5	M	3	2	2	25	30	30	4	27.5	40	5	5.47722557505166	5.47722557505166	5.24404424085076	6.32455532033676
78	H	0	4	M	7	14	7	10	40	40	11	19.86	40	3.16227766016838	6.32455532033676	6.32455532033676	4.45645599103144	6.32455532033676
43	H	1	2	M	5	0	3	25	40	25	17	35	40	5	6.32455532033676	5	5.91607978309962	6.32455532033676
73	U	0	2	M	3	0	6	10	17	17	4	13.33	40	3.16227766016838	4.12310562561766	4.12310562561766	3.65102725270574	6.32455532033676
52	U	1	3	F	7	0	11	3	20	20	15	5.64	40	1.73205080756888	4.47213595499958	4.47213595499958	2.37486841740758	6.32455532033676
55	U	0	3	F	8	0	14	5	30	30	0	12.29	40	2.23606797749979	5.47722557505166	5.47722557505166	3.50570962859162	6.32455532033676
57	U	0	1	F	0	0	4	0	25	25	19	14	40	0	5	5	3.74165738677394	6.32455532033676
54	H	0	5	M	7	1	3	25	35	35	24	30	40	5	5.91607978309962	5.91607978309962	5.47722557505166	6.32455532033676
52	H	0	2	M	7	15	12	5	30	25	2	20.42	40	2.23606797749979	5.47722557505166	5	4.518849411078	6.32455532033676
78	H	0	1	F	2	0	3	25	35	35	2	28.33	40	5	5.91607978309962	5.91607978309962	5.32259335286851	6.32455532033676
37	H	2	6	M	8	2	6	3	23	23	5	9.17	40	1.73205080756888	4.79583152331272	4.79583152331272	3.02820078594534	6.32455532033676
45	U	0	2	M	9	0	1	20	20	20	2	20	40	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958	6.32455532033676
43	H	0	5	M	3	0	5	5	25	25	4	18	40	2.23606797749979	5	5	4.24264068711928	6.32455532033676
45	H	0	1	F	4	0	7	10	40	24	11	20.86	40	3.16227766016838	6.32455532033676	4.89897948556636	4.56727489866769	6.32455532033676
52	U	1	5	M	7	0	15	3	32	32	4	12.8	40	1.73205080756888	5.65685424949238	5.65685424949238	3.57770876399966	6.32455532033676
68	H	0	5	F	9	4	32	2	17	14	5	9.69	40	1.4142135623731	4.12310562561766	3.74165738677394	3.11287648325468	6.32455532033676
82	U	0	6	M	2	0	8	10	40	40	8	29	40	3.16227766016838	6.32455532033676	6.32455532033676	5.3851648071345	6.32455532033676
49	H	0	1	M	3	0	4	20	30	30	6	23.75	40	4.47213595499958	5.47722557505166	5.47722557505166	4.87339717240448	6.32455532033676
65	U	0	2	M	4	15	2	23	30	30	9	26.5	40	4.79583152331272	5.47722557505166	5.47722557505166	5.1478150704935	6.32455532033676
74	H	0	5	M	6	1	3	5	19	19	11	10.33	38	2.23606797749979	4.35889894354067	4.35889894354067	3.21403173599764	6.16441400296898
44	H	1	7	F	9	0	16	20	40	37	5	34	38	4.47213595499958	6.32455532033676	6.08276253029822	5.8309518948453	6.16441400296898
70	U	0	1	M	3	0	17	10	60	25	9	30.94	38	3.16227766016838	7.74596669241483	5	5.56237359406935	6.16441400296898
77	H	0	1	F	9	0	8	5	26	26	7	17.38	38	2.23606797749979	5.09901951359278	5.09901951359278	4.16893271713517	6.16441400296898
63	H	0	1	M	4	0	9	3	24	24	14	14.89	38	1.73205080756888	4.89897948556636	4.89897948556636	3.85875627631495	6.16441400296898
47	H	0	4	F	1	0	45	3	25	20	7	13.51	38	1.73205080756888	5	4.47213595499958	3.67559518989782	6.16441400296898
79	H	0	1	F	8	0	9	5	25	21	4	16	38	2.23606797749979	5	4.58257569495584	4	6.16441400296898
75	H	0	2	M	7	16	18	15	38	38	4	27.28	38	3.87298334620742	6.16441400296898	6.16441400296898	5.22302594288024	6.16441400296898
41	H	0	5	M	2	1	7	5	25	25	11	16	37	2.23606797749979	5	5	4	6.08276253029822
47	U	0	1	M	9	0	7	10	35	30	9	23.86	37	3.16227766016838	5.91607978309962	5.47722557505166	4.88466989672793	6.08276253029822
62	H	0	3	F	4	12	12	5	25	25	10	11.67	37	2.23606797749979	5	5	3.41613817050774	6.08276253029822
69	U	0	5	F	8	0	5	6	25	20	1	19.6	37	2.44948974278318	5	4.47213595499958	4.42718872423573	6.08276253029822
78	H	0	7	M	8	12	21	5	23	22	10	14.81	37	2.23606797749979	4.79583152331272	4.69041575982343	3.84837628097877	6.08276253029822
77	H	0	4	M	1	3	7	3	22	22	15	13.43	37	1.73205080756888	4.69041575982343	4.69041575982343	3.66469644036174	6.08276253029822
74	H	1	4	F	3	0	2	36	36	36	7	36	36	6	6	6	6	6
44	H	2	7	M	9	1	6	10	40	40	8	23.67	36	3.16227766016838	6.32455532033676	6.32455532033676	4.86518242206806	6
73	H	0	1	F	2	0	3	15	26	26	11	20.67	36	3.87298334620742	5.09901951359278	5.09901951359278	4.54642716866772	6
51	H	0	6	M	9	9	9	5	40	40	9	20	36	2.23606797749979	6.32455532033676	6.32455532033676	4.47213595499958	6
76	U	0	1	M	6	0	17	10	175	25	12	48.53	36	3.16227766016838	13.228756555323	5	6.96634768009751	6
46	U	0	3	F	8	0	2	15	27	27	3	21	36	3.87298334620742	5.19615242270663	5.19615242270663	4.58257569495584	6
76	H	0	5	F	6	2	7	3	23	23	15	15.57	36	1.73205080756888	4.79583152331272	4.79583152331272	3.94588393138977	6
78	H	0	6	F	9	8	13	5	23	23	3	13.69	36	2.23606797749979	4.79583152331272	4.79583152331272	3.7	6
87	U	0	1	M	5	21	8	10	25	25	6	17	36	3.16227766016838	5	5	4.12310562561766	6
59	H	0	3	F	1	9	11	5	20	20	8	11.36	35	2.23606797749979	4.47213595499958	4.47213595499958	3.37045990927054	5.91607978309962
76	U	0	1	F	8	0	5	20	20	20	2	20	35	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958	5.91607978309962
86	U	0	1	F	0	3	19	3	30	30	6	13.11	35	1.73205080756888	5.47722557505166	5.47722557505166	3.62077339804633	5.91607978309962
46	H	0	6	F	9	0	2	5	25	25	14	15	35	2.23606797749979	5	5	3.87298334620742	5.91607978309962
62	H	0	1	M	4	0	2	20	20	20	17	20	35	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958	5.91607978309962
68	H	0	1	F	4	0	1	35	35	35	3	35	35	5.91607978309962	5.91607978309962	5.91607978309962	5.91607978309962	5.91607978309962
51	H	1	2	M	9	2	5	3	25	25	2	9.8	35	1.73205080756888	5	5	3.13049516849971	5.91607978309962
44	H	0	3	M	2	0	3	10	35	35	10	25	35	3.16227766016838	5.91607978309962	5.91607978309962	5	5.91607978309962
64	U	0	1	F	3	0	4	5	35	35	13	21.25	35	2.23606797749979	5.91607978309962	5.91607978309962	4.60977222864644	5.91607978309962
69	H	0	1	M	9	0	5	20	35	35	7	25.4	35	4.47213595499958	5.91607978309962	5.91607978309962	5.03984126734166	5.91607978309962
58	U	0	5	F	8	0	5	5	24	24	7	15.4	35	2.23606797749979	4.89897948556636	4.89897948556636	3.92428337406972	5.91607978309962
79	H	0	7	M	4	0	9	3	25	25	4	12	35	1.73205080756888	5	5	3.46410161513775	5.91607978309962
51	H	0	5	F	3	0	6	10	35	35	11	23.33	35	3.16227766016838	5.91607978309962	5.91607978309962	4.83011387029333	5.91607978309962
63	H	0	6	M	8	13	5	3	30	30	12	19.6	35	1.73205080756888	5.47722557505166	5.47722557505166	4.42718872423573	5.91607978309962
66	H	0	4	F	3	1	3	10	20	20	2	15	35	3.16227766016838	4.47213595499958	4.47213595499958	3.87298334620742	5.91607978309962
55	H	0	5	F	7	2	9	10	30	15	9	19.22	35	3.16227766016838	5.47722557505166	3.87298334620742	4.38406204335659	5.91607978309962
80	H	0	3	M	7	2	5	5	20	20	6	9.4	35	2.23606797749979	4.47213595499958	4.47213595499958	3.06594194335118	5.91607978309962
60	U	0	1	M	9	0	46	3	47	47	3	12.11	35	1.73205080756888	6.85565460040104	6.85565460040104	3.47994252826106	5.91607978309962
36	H	0	6	M	2	4	4	15	25	21	7	19	35	3.87298334620742	5	4.58257569495584	4.35889894354067	5.91607978309962
34	H	0	5	F	9	0	1	20	20	20	6	20	35	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958	5.91607978309962
77	H	0	1	M	3	0	17	5	30	30	6	15.18	35	2.23606797749979	5.47722557505166	5.47722557505166	3.89615194775563	5.91607978309962
68	H	0	7	M	1	0	1	25	25	25	10	25	35	5	5	5	5	5.91607978309962
83	U	0	1	F	7	0	3	20	25	25	8	23.33	35	4.47213595499958	5	5	4.83011387029333	5.91607978309962
50	H	0	6	F	5	0	2	30	35	35	14	32.5	35	5.47722557505166	5.91607978309962	5.91607978309962	5.70087712549569	5.91607978309962
54	U	0	2	M	8	0	1	20	20	20	5	20	35	4.47213595499958	4.47213595499958	4.47213595499958	4.47213595499958	5.91607978309962
82	H	0	2	M	0	16	8	3	30	30	25	18.13	35	1.73205080756888	5.47722557505166	5.47722557505166	4.25793377120875	5.91607978309962
73	H	0	5	M	5	2	3	15	25	25	4	18.33	35	3.87298334620742	5	5	4.28135492572153	5.91607978309962
